University,City,State,White,Hispanic/Latino,Black African American,Two or more races,Asian,Race Ethnicity Unknown,Non-Resident Alien,American Indian/Alaskan Native,Native Hawaiian/Pacific Islander
Penn State Berks,Reading,PA,66.0%,12.0%,10.0%,3.0%,4.0%,1.0%,3.0%,,
Lake Erie College,Painesville,OH,77.0%,2.0%,12.0%,2.0%,,3.0%,3.0%,,
Lincoln Memorial University,Harrogate,TN,84.0%,2.0%,4.0%,1.0%,,5.0%,2.0%,,
Quincy University,Quincy,IL,70.0%,5.0%,12.0%,2.0%,,10.0%,,,
St. Norbert College,De Pere,WI,88.0%,4.0%,1.0%,2.0%,1.0%,,3.0%,,
Fullerton College,Fullerton,CA,23.0%,52.0%,3.0%,3.0%,15.0%,3.0%,,,
Colorado State University,Fort Collins,CO,72.0%,12.0%,2.0%,3.0%,3.0%,3.0%,4.0%,,
Cornell University,Ithaca,NY,40.0%,13.0%,6.0%,5.0%,18.0%,8.0%,10.0%,,
Penn State Worthington Scranton,Dunmore,PA,80.0%,7.0%,3.0%,2.0%,6.0%,2.0%,,,
University of Wisconsin-Whitewater,Whitewater,WI,82.0%,6.0%,4.0%,5.0%,2.0%,,,,
Central Piedmont Community College,Charlotte,NC,41.0%,13.0%,29.0%,3.0%,4.0%,3.0%,6.0%,,
Central Virginia Community College,Lynchburg,VA,72.0%,3.0%,17.0%,4.0%,2.0%,,,,
Southern Technical College,Fort Myers,FL,59.0%,20.0%,16.0%,2.0%,1.0%,,,,
Umpqua Community College,Roseburg,OR,80.0%,7.0%,2.0%,5.0%,,4.0%,,2.0%,
DeVry University: Fremont,Fremont,CA,39.0%,24.0%,11.0%,,24.0%,,,,
Charles Drew University of Medicine and Science,Los Angeles,CA,7.0%,25.0%,31.0%,17.0%,15.0%,1.0%,2.0%,,1.0%
Landmark College,Putney,VT,70.0%,4.0%,4.0%,2.0%,2.0%,14.0%,2.0%,,
Maine College of Health Professions,Lewiston,ME,95.0%,1.0%,,,3.0%,,,,
SUNY College at Old Westbury,Old Westbury,NY,31.0%,25.0%,28.0%,3.0%,11.0%,2.0%,,,
Barnard College,New York,NY,52.0%,12.0%,6.0%,6.0%,14.0%,,8.0%,,
Jacksonville State University,Jacksonville,AL,73.0%,,18.0%,,,4.0%,2.0%,,
Ursuline College,Pepper Pike,OH,58.0%,3.0%,25.0%,5.0%,2.0%,5.0%,2.0%,,
Northampton Community College,Bethlehem,PA,57.0%,21.0%,13.0%,3.0%,2.0%,1.0%,1.0%,,
West Chester University of Pennsylvania,West Chester,PA,76.0%,6.0%,11.0%,3.0%,2.0%,,,,
Boston University,Boston,MA,41.0%,11.0%,4.0%,4.0%,14.0%,4.0%,22.0%,,
Monroe Community College,Rochester,NY,60.0%,9.0%,20.0%,4.0%,4.0%,,1.0%,,
Cuyahoga Community College,Cleveland,OH,52.0%,6.0%,31.0%,3.0%,2.0%,4.0%,2.0%,,
Athens State University,Athens,AL,78.0%,2.0%,13.0%,2.0%,,3.0%,,1.0%,
Johnson College,Scranton,PA,85.0%,6.0%,4.0%,2.0%,,2.0%,,,
Tabor College,Hillsboro,KS,66.0%,13.0%,10.0%,4.0%,,2.0%,4.0%,,
College of the Ozarks,Point Lookout,MO,92.0%,2.0%,,2.0%,,,1.0%,,
Maryville University of Saint Louis,St. Louis,MO,73.0%,4.0%,8.0%,2.0%,3.0%,5.0%,5.0%,,
Webster University,St. Louis,MO,65.0%,5.0%,12.0%,4.0%,2.0%,8.0%,4.0%,,
College of Saint Mary,Omaha,NE,72.0%,13.0%,8.0%,2.0%,2.0%,,,1.0%,
The Workforce Institute's City College,Philadelphia,PA,5.0%,18.0%,76.0%,,2.0%,,,,
University of Arkansas: Community College at Morrilton,Morrilton,AR,75.0%,8.0%,9.0%,5.0%,,,2.0%,,
Coconino County Community College,Flagstaff,AZ,56.0%,16.0%,2.0%,4.0%,,2.0%,,18.0%,
San Jacinto College,Pasadena,TX,26.0%,55.0%,10.0%,2.0%,5.0%,1.0%,2.0%,,
University of Missouri: Kansas City,Kansas City,MO,57.0%,9.0%,15.0%,4.0%,7.0%,4.0%,5.0%,,
Iowa Western Community College,Council Bluffs,IA,67.0%,7.0%,13.0%,,1.0%,7.0%,2.0%,2.0%,
Emporia State University,Emporia,KS,70.0%,7.0%,6.0%,8.0%,,2.0%,7.0%,,
Southern Nazarene University,Bethany,OK,62.0%,9.0%,12.0%,5.0%,1.0%,4.0%,2.0%,3.0%,
Trinity Valley Community College,Athens,TX,61.0%,19.0%,12.0%,3.0%,1.0%,2.0%,,,
Vennard College,University Park,IA,82.0%,3.0%,11.0%,,,,4.0%,,
Salvation Army College for Officer Training at Crestmont,Rancho Palos Verdes,CA,54.0%,21.0%,4.0%,,10.0%,,,10.0%,1.0%
Virginia Polytechnic Institute and State University,Blacksburg,VA,67.0%,6.0%,4.0%,4.0%,10.0%,3.0%,6.0%,,
John Tyler Community College,Chester,VA,59.0%,8.0%,23.0%,5.0%,3.0%,,,,
University of Texas at Arlington,Arlington,TX,41.0%,24.0%,15.0%,3.0%,11.0%,,5.0%,,
Ohio Valley University,Vienna,WV,56.0%,6.0%,11.0%,3.0%,,9.0%,14.0%,,
Gallaudet University,Washington,DC,53.0%,10.0%,16.0%,4.0%,4.0%,6.0%,7.0%,,
Greensboro College,Greensboro,NC,56.0%,3.0%,30.0%,4.0%,,6.0%,,,
Hodges University,Naples,FL,46.0%,35.0%,13.0%,1.0%,2.0%,1.0%,,,
San Jose City College,San Jose,CA,9.0%,24.0%,5.0%,44.0%,18.0%,,,,
Trident Technical College,Charleston,SC,57.0%,6.0%,29.0%,3.0%,2.0%,2.0%,,,
Davis and Elkins College,Elkins,WV,64.0%,,4.0%,,,17.0%,13.0%,,
University of Idaho,Moscow,ID,72.0%,10.0%,1.0%,4.0%,2.0%,6.0%,4.0%,,
Stetson University,DeLand,FL,64.0%,15.0%,8.0%,3.0%,2.0%,1.0%,5.0%,,
Louisburg College,Louisburg,NC,24.0%,,56.0%,6.0%,,11.0%,,,
Boston Conservatory,Boston,MA,50.0%,9.0%,4.0%,2.0%,2.0%,25.0%,9.0%,,
Seattle University,Seattle,WA,44.0%,9.0%,3.0%,7.0%,16.0%,9.0%,11.0%,,
San Francisco Conservatory of Music,San Francisco,CA,32.0%,6.0%,4.0%,11.0%,7.0%,6.0%,34.0%,1.0%,
City University of New York: Queensborough Community College,Bayside,NY,13.0%,33.0%,23.0%,1.0%,23.0%,,5.0%,,
Wesleyan University,Middletown,CT,55.0%,10.0%,7.0%,5.0%,7.0%,5.0%,10.0%,,
Big Bend Community College,Moses Lake,WA,55.0%,35.0%,1.0%,4.0%,2.0%,3.0%,,,
Daniel Webster College,Nashua,NH,68.0%,7.0%,10.0%,5.0%,4.0%,6.0%,,,
SUNY College of Technology at Alfred,Alfred,NY,73.0%,8.0%,12.0%,2.0%,1.0%,,1.0%,,
Northeast Iowa Community College,Calmar,IA,88.0%,2.0%,4.0%,1.0%,,3.0%,,,
AIB College of Business,Des Moines,IA,63.0%,6.0%,5.0%,2.0%,2.0%,18.0%,3.0%,,
Austin Community College,Austin,TX,45.0%,36.0%,7.0%,4.0%,5.0%,,2.0%,,
West Virginia Northern Community College,Wheeling,WV,91.0%,,3.0%,2.0%,,2.0%,,,
Wor-Wic Community College,Salisbury,MD,60.0%,5.0%,27.0%,4.0%,2.0%,1.0%,,,
Texas A&M International University,Laredo,TX,2.0%,95.0%,,,,,2.0%,,
Tulsa Community College,Tulsa,OK,56.0%,8.0%,9.0%,10.0%,4.0%,4.0%,3.0%,7.0%,
Texas State Technical College: Harlingen,Harlingen,TX,6.0%,89.0%,,,,3.0%,,,
Texas A&M University-Corpus Christi,Corpus Christi,TX,36.0%,49.0%,7.0%,1.0%,3.0%,2.0%,2.0%,,
University of Texas at Tyler,Tyler,TX,58.0%,16.0%,9.0%,8.0%,3.0%,3.0%,2.0%,,
Union College,Lincoln,NE,52.0%,21.0%,7.0%,5.0%,4.0%,,9.0%,,1.0%
University of Arkansas,Fayetteville,AR,77.0%,8.0%,5.0%,3.0%,2.0%,,3.0%,1.0%,
University of Dallas,Irving,TX,63.0%,22.0%,2.0%,3.0%,6.0%,1.0%,3.0%,,
University of Dubuque,Dubuque,IA,63.0%,9.0%,14.0%,3.0%,2.0%,6.0%,3.0%,,
University of Houston,Houston,TX,25.0%,33.0%,10.0%,3.0%,22.0%,1.0%,4.0%,,
University of Kansas,Lawrence,KS,71.0%,8.0%,4.0%,5.0%,5.0%,,6.0%,,
