University,services,website
Colorado Mountain College,Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Career counseling; Employment services for undergraduates; Personal counseling; Financial aid counseling; Health services,www.coloradomtn.edu 
Penn State Berks,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.bk.psu.edu 
Lake Erie College,Career counseling; Employment services for undergraduates; Placement services for graduates; Financial aid counseling,www.lec.edu 
Lincoln Memorial University,Alcohol/substance abuse counseling; Career counseling; Financial aid counseling; Personal counseling; Placement services for graduates; Chaplain/spiritual director; Employment services for undergraduates; Health services,www.lmunet.edu 
Quincy University,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Women's services; Chaplain/spiritual director,www.quincy.edu 
St. Norbert College,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Women's services; Veteran's counselor,www.snc.edu 
University of Connecticut: School of Pharmacy,,
Cuyamaca College,Career counseling; Health services; Personal counseling; Veteran's counselor; Financial aid counseling; On-campus daycare; Adult (re-entering) student services/programs,www.cuyamaca.edu 
Paralegal Institute,,www.theparalegalinstitute.edu 
Copper Mountain College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Adult (re-entering) student services/programs; Veteran's counselor,www.cmccd.edu 
Fullerton College,Career counseling; Employment services for undergraduates; Health services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling; Minority students services,www.fullcoll.edu 
Colorado State University,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Legal services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services,www.colostate.edu 
Cornell University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Veteran's counselor; Women's services; Alcohol/substance abuse counseling; Economically disadvantaged students services; On-campus daycare,www.cornell.edu 
Penn State Worthington Scranton,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services,www.sn.psu.edu 
University of Wisconsin-Whitewater,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Economically disadvantaged students services; Legal services,www.uww.edu 
Central Piedmont Community College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Minority students services,www.cpcc.edu 
Central Virginia Community College,Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Placement services for graduates; Veteran's counselor,www.cvcc.vccs.edu 
Stevens Institute of Business & Arts,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs,www.siba.edu 
Southern Technical College,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Adult (re-entering) student services/programs; Economically disadvantaged students services,www.southerntech.edu 
Umpqua Community College,Career counseling; Employment services for undergraduates; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor; Economically disadvantaged students services; Financial aid counseling; Adult (re-entering) student services/programs,www.umpqua.edu 
Wenatchee Valley College,Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Minority students services; Personal counseling; Adult (re-entering) student services/programs; Veteran's counselor; On-campus daycare,www.wvc.edu 
Florida Technical College: Orlando,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates,www.ftccollege.edu 
DeVry University: Fremont,Career counseling; Employment services for undergraduates; Financial aid counseling; Placement services for graduates; Veteran's counselor,www.devry.edu 
Antioch New England Graduate School,,www.antiochne.edu 
Lyme Academy College of Fine Arts,Alcohol/substance abuse counseling; Career counseling; Financial aid counseling; Personal counseling; Veteran's counselor; Women's services,www.lymeacademy.edu 
Black River Technical College,Employment services for undergraduates; Career counseling; Financial aid counseling; Health services; Placement services for graduates; Veteran's counselor,www.blackrivertech.edu 
Charles Drew University of Medicine and Science,Financial aid counseling,www.cdrewu.edu 
Argosy University: Chicago,,
Landmark College,Alcohol/substance abuse counseling; Career counseling; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services; Chaplain/spiritual director; Employment services for undergraduates,www.landmark.edu 
Maine College of Health Professions,Financial aid counseling; Health services; Personal counseling; Veteran's counselor,www.mchp.edu 
SUNY College at Old Westbury,Alcohol/substance abuse counseling; Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Economically disadvantaged students services; On-campus daycare; Women's services,www.oldwestbury.edu 
Barnard College,Alcohol/substance abuse counseling; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Personal counseling; Placement services for graduates; Women's services,www.barnard.edu 
Jacksonville State University,Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Veteran's counselor,www.jsu.edu 
Ursuline College,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Personal counseling; Adult (re-entering) student services/programs; Minority students services,www.ursuline.edu 
Northampton Community College,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Financial aid counseling; Health services; Minority students services; On-campus daycare; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Employment services for undergraduates; Veteran's counselor; Women's services,www.northampton.edu 
West Chester University of Pennsylvania,Alcohol/substance abuse counseling; Career counseling; Economically disadvantaged students services; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Women's services; Veteran's counselor; Legal services,www.wcupa.edu 
Boston University,Chaplain/spiritual director; Career counseling; Employment services for undergraduates; Financial aid counseling; Health services; Minority students services; Personal counseling; Placement services for graduates; Adult (re-entering) student services/programs; Veteran's counselor; Women's services; Alcohol/substance abuse counseling,www.bu.edu 
Beth Hatalmud Rabbinical College,,
