University,State,City,Enrollment (Undergrad),Male Enrollment,Female Enrollment,Native Hawaiian/ Pacific Islander,American Indian/Alaskan Native,Multi-race (not Hispanic/Latino),Asian,White,Black/African-American,International,Hispanic/Latino,Unknown
Agnes Scott College,GA,Decatur,902,8,894,0.0,0.3,8.6,6.3,35.5,36.4,7.2,10.5,2.6
Albany State University,GA,Albany,3316,1084,2232,0.0,0.2,1.3,0.1,4.7,90.2,0.4,1.4,2.2
Armstrong State University,GA,Savannah,6331,2130,4201,0.3,0.2,4.7,3.5,57.9,25.2,1.6,7.2,1.0
Berry College,GA,Mount Berry,2123,809,1314,0.0,0.2,3.3,1.4,81.6,4.7,0.6,6.5,2.2
Beulah Heights University,GA,Atlanta,454,200,254,0.0,0.0,0.0,10.5,5.9,73.3,0.9,2.3,8.0
Brenau University,GA,Gainesville,1596,155,1441,0.2,,3.4,2.1,51.1,32.3,2.5,8.0,2.8
Brewton-Parker College,GA,Mt. Vernon,629,316,313,0.5,0.3,0.7,0.5,55.0,25.2,4.0,5.1,12.7
Carver College,GA,Atlanta,104,70,34,,,,1.4,,98.6,33.7,,
Chamberlain College of Nursing,GA,Atlanta,879,67,812,0.2,0.1,1.3,7.3,24.4,46.9,3.0,4.1,15.7
Clark Atlanta University,GA,Atlanta,2741,723,2018,0.0,0.1,0.0,0.2,0.0,85.7,2.4,0.4,13.5
Clayton State University,GA,Morrow,6587,2084,4503,0.1,0.2,2.7,5.3,21.6,63.2,1.1,3.3,3.6
College of Coastal Georgia,GA,Brunswick,3131,1066,2065,0.1,0.2,4.4,1.6,68.2,18.4,1.1,4.6,2.6
Columbus State University,GA,Columbus,6937,2760,4177,0.2,0.3,2.1,2.3,52.4,37.0,1.1,5.6,0.0
Covenant College,GA,Lookout Mountain,1044,441,603,0.2,0.3,2.7,2.0,89.3,2.5,2.8,3.0,0.1
DeVry University - Atlanta,GA,Decatur,1684,683,1001,0.1,0.2,1.3,1.4,22.6,54.1,0.8,5.1,15.2
Emmanuel College,GA,Franklin Springs,884,475,409,0.6,0.4,2.3,0.4,75.6,15.9,4.9,4.9,0.0
Emory University,GA,Atlanta,6867,2876,3991,0.0,0.2,3.6,22.9,48.7,11.1,16.4,9.7,3.8
Georgia College and State University,GA,Milledgeville,6036,2407,3629,0.1,0.2,0.3,1.6,86.5,5.5,1.2,5.0,1.0
Georgia Gwinnett College,GA,Lawrenceville,11468,5027,6441,0.1,0.1,3.8,9.8,35.0,33.7,1.7,16.7,0.7
Georgia Institute of Technology,GA,Atlanta,14884,9782,5102,0.1,0.1,4.1,21.5,56.9,7.5,10.3,7.4,2.6
Georgia Regents University,GA,Augusta,5224,1880,3344,0.5,0.4,3.6,0.8,57.5,25.5,1.1,5.5,6.4
Georgia Southern University,GA,Statesboro,17963,8945,9018,0.1,0.5,1.9,1.6,63.3,26.7,1.4,4.9,1.0
Georgia Southwestern State University,GA,Americus,2435,889,1546,0.2,0.2,1.8,1.6,63.8,28.8,1.7,3.3,0.3
Georgia State University,GA,Atlanta,25160,10316,14844,0.0,0.2,5.1,12.6,26.8,42.8,1.8,9.9,2.7
Kennesaw State University,GA,Kennesaw,30480,15566,14914,0.1,0.2,4.4,4.4,59.2,20.7,1.7,8.7,2.3
LaGrange College,GA,LaGrange,912,458,454,0.0,0.2,3.6,1.0,68.3,25.2,0.4,1.5,0.1
Life University,GA,Marietta,718,349,369,0.0,1.7,5.6,3.0,49.4,26.7,3.3,13.5,
Mercer University,GA,Macon,2899,1454,1445,0.1,0.4,3.8,8.0,59.9,19.1,3.6,5.7,3.0
Oglethorpe University,GA,Atlanta,1147,476,671,0.1,0.2,3.1,3.7,35.3,19.3,6.5,10.3,27.9
Paine College,GA,Augusta,924,472,452,0.2,0.2,1.3,0.2,1.9,91.9,1.2,2.1,2.2
Piedmont College,GA,Demorest,1284,433,851,0.1,0.2,2.3,1.4,71.6,9.4,0.9,5.4,9.6
Point University,GA,West Point,1582,795,787,0.1,0.3,3.9,0.6,49.9,31.8,0.8,6.1,7.5
Reinhardt University,GA,Waleska,1334,699,635,,0.4,,0.6,69.2,5.9,0.1,18.2,5.6
Savannah College of Art and Design,GA,Savannah,10185,3483,6702,0.4,0.6,0.0,9.9,61.3,13.0,16.7,9.9,5.0
Savannah State University,GA,Savannah,4645,1954,2691,0.1,0.3,2.8,0.1,4.1,83.5,1.3,8.5,0.6
Shorter University,GA,Rome,1377,598,779,0.2,0.5,2.1,1.0,64.5,25.5,4.0,4.8,1.4
South Georgia State College,GA,Douglas,2579,995,1584,0.1,0.4,0.7,0.8,61.5,32.5,0.2,3.9,0.0
Thomas University,GA,Thomasville,882,391,491,0.1,0.6,0.0,0.9,55.0,27.7,2.2,3.9,11.7
Toccoa Falls College,GA,Toccoa Falls,937,429,508,0.1,0.1,1.5,7.5,76.5,7.9,1.6,3.4,3.0
Truett-McConnell College,GA,Cleveland,1997,900,1097,0.0,0.0,0.0,0.7,85.6,7.7,0.8,3.9,2.0
University of Georgia,GA,Athens,27547,11864,15683,0.1,0.1,3.8,9.7,72.4,7.6,1.6,5.5,0.8
University of North Georgia,GA,Dahlonega,16729,7487,9242,0.1,0.2,2.7,2.8,78.1,4.2,1.6,10.6,1.4
University of West Georgia,GA,Carrollton,10753,3962,6791,0.2,0.1,3.3,0.9,50.6,37.2,1.1,4.8,2.9
Valdosta State University,GA,Valdosta,8796,3600,5196,0.2,0.3,3.3,1.3,51.8,37.2,2.8,5.1,0.8
