School ID,University,State,City,Enrollment (Undergrad),Male Enrollment,Female Enrollment,Native Hawaiian/Pacific Islander,American Indian/Alaskan Native,Multi-race (not Hispanic/Latino),Asian,White,Black/African-American,International,Hispanic/Latino,Unknown
000006,Bryn Athyn College,PA,Bryn Athyn,273,146,127,0.4,0.0,0.4,2.7,64.1,21.2,5.1,10.0,1.2
000007,Adelphi University,NY,Garden City,4852,1532,3320,0.0,0.1,2.1,9.9,56.6,9.7,4.2,15.6,6.0
000008,Albany College of Pharmacy and Health Sciences,NY,Albany,1078,432,646,0.1,0.4,0.9,15.1,68.3,3.7,6.7,4.9,6.6
000009,Albertus Magnus College,CT,New Haven,1256,444,812,0.2,0.2,1.3,0.5,41.7,34.8,0.9,15.3,6.0
000010,Albright College,PA,Reading,1759,711,1048,0.0,0.9,1.2,3.1,59.8,21.7,2.9,11.4,1.8
000011,Alfred University,NY,Alfred,1806,908,898,0.0,0.4,2.6,2.3,67.4,9.4,2.0,7.5,10.4
000012,Allegheny College,PA,Meadville,1931,890,1041,0.1,0.1,4.9,2.4,78.1,6.0,2.7,7.2,1.2
000013,DeSales University,PA,Center Valley,2291,909,1382,0.2,0.7,0.0,2.5,74.5,4.4,,11.8,6.0
000014,Alvernia University,PA,Reading,2358,660,1698,0.0,0.2,1.4,1.4,69.9,12.2,0.3,7.7,7.2
000015,American International College,MA,Springfield,1486,598,888,0.3,0.4,3.1,1.5,40.1,25.5,3.2,14.5,14.7
000016,Sacred Heart University,CT,Fairfield,5205,1857,3348,0.1,0.1,1.5,2.3,71.5,4.0,1.2,8.5,12.1
000017,St. Joseph's College - Long Island Campus,NY,Patchogue,2888,981,1907,0.1,0.7,1.3,2.0,68.2,4.7,,10.9,12.0
000018,Amherst College,MA,Amherst,1795,891,904,0.1,0.5,5.5,15.0,46.6,12.9,9.6,14.9,4.5
000019,Saint Anselm College,NH,Manchester,1927,765,1162,0.0,0.2,1.6,0.6,83.4,2.1,0.7,2.8,9.4
000020,St. Bonaventure University,NY,St. Bonaventure,1687,857,830,0.0,0.2,2.7,4.3,70.2,5.8,2.3,6.9,9.8
000021,Anna Maria College,MA,Paxton,1128,445,683,0.3,0.4,1.5,1.9,68.7,10.5,0.4,8.4,8.5
000022,College of St. Elizabeth,NJ,Morristown,805,45,760,0.1,0.4,1.9,2.7,32.8,28.5,3.7,21.4,12.1
000023,Assumption College,MA,Worcester,1987,805,1182,0.1,0.1,2.4,2.4,76.7,5.8,2.0,6.9,5.7
000024,St. Francis College,NY,Brooklyn Heights,2598,1096,1502,,,,,,,,,
000025,Saint Francis University,PA,Loretto,1724,643,1081,0.4,0.1,1.4,1.0,83.4,6.0,4.9,1.6,6.0
000026,College of the Atlantic,ME,Bar Harbor,338,101,237,0.0,0.0,1.8,3.6,86.1,0.7,16.9,5.3,2.5
000027,St. John Fisher College,NY,Rochester,2805,1108,1697,0.1,0.2,1.7,3.5,84.6,3.5,0.2,4.1,2.2
000029,St. John's University,NY,Queens,16210,7033,9177,0.4,0.2,4.1,14.8,42.8,14.8,4.0,13.6,9.3
000030,University of Saint Joseph,CT,West Hartford,960,25,935,0.2,0.1,1.9,4.2,53.8,16.2,0.4,17.6,6.0
000031,St. Joseph's College of Maine,ME,Standish,2384,666,1718,0.0,0.0,0.0,1.0,68.7,2.9,,1.9,21.5
000032,Babson College,MA,Babson Park,2141,1105,1036,0.1,0.2,3.3,16.7,51.9,6.6,26.1,13.2,7.9
000033,St. Joseph's College - Brooklyn Campus,NY,Brooklyn,990,330,660,0.3,0.3,1.1,7.4,41.5,24.8,,17.3,7.2
000034,Saint Joseph's University,PA,Philadelphia,5395,2413,2982,0.1,0.1,2.0,2.5,81.1,6.6,1.9,5.8,1.8
000035,Baptist Bible College and Seminary,PA,Clarks Summit,722,363,359,0.1,0.4,1.2,0.6,89.7,3.5,0.1,1.5,2.9
000036,St. Lawrence University,NY,Canton,2435,1093,1342,0.1,0.3,2.6,2.1,86.1,3.6,8.5,4.9,0.3
000037,Saint Michael's College,VT,Colchester,1997,909,1088,0.1,0.1,2.0,1.9,88.2,2.7,3.2,4.4,0.6
